"id_producto","categoria","precio","marca","id_tienda","ubicacion","tamano_tienda","id_cliente","edad_cliente","genero_cliente","tipo_cliente","id_promocion","tipo_promocion","descuento","fecha_venta","ventas"
"PROD153","Acuesorios","989.85","Apple","STORE35","Nueva York","869","CUST255","48","F","Regular","PROMO6",NA,"1.48",2023-10-30,"-6"
"PROD90","Accesorios","1566.02","Samsung","STORE38","chicago","651","CUST450","74","Hombre","Regulao","PROMO9","2x1","0.11",2023-07-16,"N/A"
"PROD91","Smartphones","417.12","yP","TND19","miami","188","CUST352","57","Masculino","Regular","PROMO4",NA,"0.12",2023-10-20,"4"
"PROD256","Smartphones","$1220.2","HP","STORE33","Houston","10010.52","CUST189","34","Femenino","Premium","PROMO10",NA,"0.26",2023-10-23,"3"
"PROD197","Tqblets","1452.92","Samsung","STORE29","Nueva York","979","CUST197","1975-09-27","M","Premdum","PROMO5","Descuento","4%",2023-11-03,"2000"
"PROD499","Accesorios","1330.43","Samsung","STORE40","Chicago","173","CUST27","72","Hombre","Premium","PROMO10","2x1","0.36",2023-11-19,"10"
"PROD91","TVs","464.9","LG","STORE19","nueva york","845","CUST893","60","Mujer","Premium","PROMO5","Descuento","0.37",2023-03-25,"9"
"PROD441","Audio","1138.67","Lenovo","STORE5","Houston","931","CUST386","68","Masculino","Premium",NA,NA,"0.29",2023-08-13,"6"
"PROD348","Accesorios","1614.31","Samsung","16","Miami","741","CUST79","68","Femenino","Regular","PROMO2","Descuento","0.09",2023-04-13,"2000"
"PROD137","Audio","131.47","LG","STORE35","nueva york","5037.552","CUST168","74","Masculino","Regular","PROMO7","Regalo","0.33",2023-11-07,"9"
"PROD477","Audio","1984.75","Apble","4","HOUSTON","796 m2","CUST697","71","Masculino","Premium","PROMO4","Regalo","16%",2023-05-31,"7"
"PROD355","TVs","1893","Lenovo","STORE24","Miami","903","CUST31","48","Otro","Regular","PROMO5","Descuento","0.42",2023-08-13,"2000"
"PROD328","Accesorios","1286.82","Samsung","STORE17","San Francisco","890","CUST179","33 años","Masculino","Premium","PROMO2",NA,"4",2023-08-21,"9"
"PROD26","Audio","981.35","Dell","STORE46","chicago","5263.596","CUST196","48","Masculino","Regular","PROMO5",NA,"0.44",2023-01-15,"8"
"PROD7","TVs","1512.66","Dell","STORE31","Houston","367","CUST773","28","Hombre","Regular","PROMO4",NA,"0.27",2023-04-29,"6"
"PROD426","Tablets","-1963.49","Soiy","STORE27","nueva york","294","CUST8","36","Otro","Regular","PROMO5","2x1","0.49",2023-08-09,"4"
"PROD137","Accesorios","$1354.59","Samsung","2","San Francisco","209","CUST830","137","Femenino","Regular","PROMO6","2x1","0.38",2023-05-08,"4"
"PROD254","Accesorios","704.07","Samsung","STORE19","Los Ángeles","853","CUST494","45","F","Premium","PROMO2","Descuento","0.08",2023-06-23,"5"
"PROD211","Accesorios","1794.32","Lenovo","STORE48","Miami","287","CUST635","48","Otro","Regular","PROMO3","2x1","0.31",2023-11-06,"1"
"PROD420","Audio","882.33","Sony","STORE40","Houston","2830.932","CUST710","73","Femenino","Premium","PROMO10",NA,"0.23",2023-09-20,"9"
"PROD78","Accesorios","256.31","Lenovo","STORE2","San Francisco","1076 sq ft","CUST489","27","Masculino","Regular","PROMO8","Descuento","0.15",2023-03-17,"3"
"PROD81","Accesorios","1766.87","Lenovo","STORE39","San Francisco","600","CUST676","31","Masculino","Regular","PROMO5",NA,"0.49",2023-09-09,"6"
"PROD43","Laptops","380.31","LG","STORE14","Houston","266","CUST187","33","Masculino","Revular","PROMO7","Descuento","1.27",2023-09-24,"6"
"PROD359","Laptups","1896.25","Dell","TND46","San Francisco","378","CUST249","1949-09-27","Otro","Regular","PROMO10","Descuento","2",2023-10-12,"8"
"PROD373","TVs","1082.45","Bose","STORE18","Houston","363","CUST468","45","M","Regular",NA,"Regalo","0.34",2023-08-25,"5"
"PROD332","Laptops","534.65","Bose","STORE22","Miami","755","CUST116","45","otro","Regular","PROMO4","Regalo","0.01",2023-12-15,"8"
"PROD143","Accesorios","978.56","Dell","TND37","miami","463","CUST646","60","Masculino","Regular","PROMO1",NA,"0.07",2023-01-08,"3"
"PROD32","Laptops","747.46","Apple","STORE14","Houston","433","CUST266","43","femenino","Premium","PROMO7","Regalo","0.4",2023-02-26,"8"
"PROD490","Smartphones","293.54","HP","STORE44","Miami","630","CUST811","29","Otro","Nuezo","PROMO10","Regalo","0.1",2023-09-03,"N/A"
"PROD109","Audio","713.13","Apple","STORE41","Houston","133","CUST439","70","Femenino","Regular","PROMO3","Regalo","0.26",2023-11-25,"5"
"PROD263","TVs","127480","Sony","STORE13","San Francisco","433","CUST34","32","Otro","Regular","PROMO4","Regalo","0.2",2023-03-23,"6"
"PROD393","Laptops","1579.38","Lenovo","19","Houston","383","CUST556","57","No especificado","Regular","PROMO8",NA,"38",2023-01-17,"7"
"PROD425","Audio","671.26","Dell","STORE42","Miami","3121.56","CUST177","63","Otro","Nuevo","PROMO8","2x1","0.43",2023-05-31,"3"
"PROD330","Laptops","1440.54","HP","STORE49","Miami","293","CUST956","70","Otro","Regular",NA,"Regalo","0.48",2023-01-16,"5"
"PROD23","Smartphones","1902560","LG","STORE40","SAN FRANCISCO","678","CUST380","24","M","Regular","PROMO3","Descuento","1.23",2023-05-17,"3"
"PROD411","Tablets","638.66","Aphle","STORE43","Nueva York","230","CUST917","25","O","Regular","PROMO6","Descuento","0.06",2023-10-29,"10"
"PROD444","Laptops","1975800","Bose","STORE14","SAN FRANCISCO","879","CUST470","41","Femenino","Premium","PROMO9","Regalo","0.04",2023-05-19,"7"
"PROD309","Laptops","355.46","Lenovo","STORE36","Chicago","496","CUST982","142","Otro","Regular","PROMO10","2x1","0.45",2023-03-14,"2"
"PROD135","TVs","1606.49","LG","STORE41","Miami","893","CUST899","47","Femenino","Regular","PROMO1",NA,"0.24",2023-05-02,"3"
"PROD309","Laptops","1140.66","Samsung","TND13","Miami","908","CUST995","78","Otro","Premium","PROMO5",NA,"35%",2023-09-25,"5"
"PROD411","Audio","152.53","HP","STORE28","San Francisco","707","CUST590","75","M","Premium","PROMO4","Regalo","0.34",2023-05-15,"6"
"PROD224","Laptops","976.57","Lenovo","STORE13","Los Ángeles","132","CUST690","51","Masculino","Regular","PROMO7","2x1","0.3",2023-12-31,"4"
"PROD166","Laptops","-1557.85","Sony","STORE39","NUEVA YORK","916","CUST76","30","F","Regular","PROMO4","Regalo","0.4",2023-08-08,"7"
"PROD217","Accesorios","1660.52","wP","STORE7","Nueva York","679","CUST9","42","masculino","Regular","PROMO1","Regalo","1.05",2023-05-13,"5"
"PROD290","oVs","624.34","Samsung","STORE35","Nueva York","370","CUST227","56","Masculino","Regular","PROMO9","Descuento","0.27",2023-03-08,"4000"
"PROD477","Smartphones","-205.23","Apple","STORE24","HOUSTON","9440.028","CUST999","44","Otro","Premium","PROMO6","Descuento","0.31",2023-12-24,"3"
"PROD69","Laptopi","1124.31","Samsung","STORE47","Los Ángeles","868","CUST253","64","Otro","Regular","PROMO5","Regalo","0.1",2023-04-11,"8"
"PROD72","Audio","1419.19","Samsung","TND7","Chicago","977","CUST210","62","Masculino","Premium","PROMO9","Regalo","0.43",2023-06-10,"3"
"PROD76","Laptops","1514.37","HP","STORE9","san francisco","4596.228","CUST230","130","F","Regular","PROMO4","2x1","0.34",2023-05-02,"7"
"PROD63","Laptops","1683.91","Sony","20","Nueva York","557","CUST201","37","Femenino","Premium",NA,NA,"0.11",2023-09-17,"10"
"PROD141","Tablets","1905.5","Bose","STORE6","LOS ÁNGELES","503","CUST950","139","Otro","Premium","PROMO2",NA,"0.36",2023-06-16,"1"
"PROD210","Accesoqios","1358.13","Apple","STORE6","Los Ángeles","854","CUST36","60","Otro","Regular","PROMO8","Descuento","0.32",2023-04-30,"7"
"PROD353","Laptops","1129.23","LG","STORE49","Chicago","380","CUST720","47","M","Regular",NA,NA,"0.29",2023-11-05,"6"
"PROD347","Accesorios","370.38","LG","STORE36","Chipago","346 m2","CUST848","71","Otro","Nuevo","PROMO4",NA,"0.49",2023-11-01,"4"
"PROD153","Lapoops","519750","Dell","STORE10","Miami","2432.664","CUST971","50","Otro","Premium","PROMO3","Descuento","0.41",2023-12-21,"3000"
"PROD294","Llptops","-245.44","HP","STORE18","Nueva York","829 m2","CUST152","44","Masculino","Regular","PROMO7","2x1","0.15",2023-04-17,"2"
"PROD277","Accesorios","1566.8","Lenovo","STORE43","los ángeles","571","CUST261","50","Masculino","Regulor","PROMO9","Descuento","0.26",2023-09-30,"7"
"PROD463","Accesorios","-1705.71","HP","STORE27","Miami","794","CUST45","24","F","Regular","PROMO2","2x1","0.27",2023-08-03,"2"
"PROD41","Smartphones","1597.96","LG","TND47","Nueva York","9020 sq ft","CUST454","19","femenino","Premium","PROMO7","2x1","0.05",2023-11-20,"9000"
"PROD431","Smartphoner","$1960.45","Sony","STORE7","los ángeles","823 m2","CUST899","69","Femenino","Premium","PROMO10",NA,"0.43",2023-05-04,"6"
"PROD90","Smartphones","1643.07","Apple","STORE50","Miami","299","CUST757","62","Femenino","Rdgular",NA,NA,"0.37",2023-01-20,"2"
"PROD316","Smartphones","273.53","HP","STORE16","San Francisco","8159.112","CUST195","1985-09-27","Masculino","Regular","PROMO8","Regalo","0.5",2023-05-14,"9"
"PROD223","Laptops","1753.61","Samsung","STORE16","San Francisco","829","CUST509","78","Masculino","Premium","PROMO8","2x1","0.37",2023-02-01,"3"
"PROD16","Laptops","1325110","Bose","STORE31","Houston","800","CUST149","78","otro","Premium","PROMO8","2x1","0.45",2023-01-19,"7"
"PROD116","Audio","1246.55","Dell","STORE15","miami","348 m2","CUST71","1961-09-27","masculino","Premium","PROMO1","Regalo","0.22",2023-12-30,"4"
"PROD94","Audio","-343.71","HP","TND39","Miami","350","CUST301","80 años","Otro","Regulaf","PROMO4","Descuento","0.27",2023-02-02,"9"
"PROD262","Laptops","386.91","Apple","STORE35","Los Ángeles","208","CUST727","68 años","F","Regular","PROMO4",NA,"0.15",2023-08-31,"7"
"PROD235","Accesorion","422.76","HP","TND3","Nueva York","546","CUST121","50","Otro","Nuevo",NA,NA,"0",2023-05-08,"1"
"PROD456","Laptops","1128.33","Dell","STORE14","Chicago","502","CUST422","39","Masculino","Regular","PROMO8",NA,"0.2",2023-08-02,"1"
"PROD86","Tablets","1573.35","Apple","20","Nueva York","801","CUST914","37","Masculino","Nuevo","PROMO8","Descuento","0.28",2023-05-13,"6"
"PROD342","Smartphones","126.1","Lenovo","STORE44","san francisco","2443.428","CUST435","68","Masculino","Regular","PROMO7","Regalo","1",2023-08-11,"-5"
"PROD39","Laptops","344.87","Apple","STORE6","San Francisco","286","CUST142","65","F","Regular","PROMO7","Regalo","0.42",2023-08-14,"5"
"PROD159","Laptgps","1756.43","Bose","STORE29","San Francisco","415 m2","CUST81","53","Masculino","Regular","PROMO2","Descuento","0.35",2023-02-26,"10"
"PROD240","Accesorios","333.81","Sony","STORE5","nueva york","822","CUST535","141","Femenino","Premiem","PROMO7","Descuento","0.44",2023-08-08,"2"
"PROD209","Accesorios","1402240","Apple","STORE31","CHICAGO","153","CUST228","26","Masculino","Premium","PROMO6",NA,"0.35",2023-08-06,"3"
"PROD374","Accesorios","1686.56","Apple","STORE44","San Francisco","409 m2","CUST312","36","Otro","Regular","PROMO4","Regalo","0.1",2023-02-04,"8"
"PROD306","Tablets","1529.81","yG","STORE46","Los Ángeles","274","CUST304","47 años","masculino","Nuevo","PROMO5","Regalo","0.18",2023-04-21,"7"
"PROD497","Smartphones","665.85","Lenovo","STORE5","Houston","441 m2","CUST518","67","Femenino","Premium","PROMO5","Regalo","0.26",2023-05-14,"7"
"PROD34","Laptops","1149.78","HP","STORE8","Miami","789","CUST860","20","F","Regular","PROMO10","Regalo","0.24",2023-07-12,"7"
"PROD4","Smartphones","834.46","LG","8","Chicago","493","CUST398","73","Femenino","Regular","PROMO1",NA,"0.33",2023-10-05,"4"
"PROD13","Audio","66.37","Akple","STORE50","Los Ángeles","512","CUST624","19","Femenino","Regular","PROMO8",NA,"0.26",2023-04-25,"1"
"PROD69","TVs","1013.47","LG","STORE10","Nueva York","748","CUST79","53","Femenino","Nuevo","PROMO4","2x1","0.14",2023-09-05,"3"
"PROD383","Laptops","-578.52","Sony","TND28","Los Ángeles","470","CUST271","50","F","Nuevu","PROMO4",NA,"0.29",2023-11-20,"7"
"PROD243","TVn","561.01","Sameung","STORE9","Chicago","600","CUST485","32 años","Femenino","Regular","PROMO2","Descuento","0.24",2023-03-13,"2"
"PROD409","Audio","1663.62","Lenovo","STORE35","Nueva York","704","CUST795","70","Masculino","Premium","PROMO6","Descuento","29%",2023-11-27,"1"
"PROD308","Accesorios","1476.5","Sony","STORE16","Los Ángeles","3390.66","CUST102","71","Otro","Premium","PROMO4",NA,"0.01",2023-05-11,"5"
"PROD278","Tabwets","814.71","Samsung","STORE39","Chicago","784","CUST304","75","Femenino","Premium","PROMO5","Descuento","33",2023-04-19,"10"
"PROD89","Smartphones","-988.96","Bose","15","Los Ángeles","353","CUST465","80","otro","Premium","PROMO10","2x1","0.32",2023-10-23,"6"
"PROD416","TVs","1607.49","Apple","STORE9","Nueva York","727","CUST166","52","M","Regular","PROMO7","Regalo","1",2023-09-02,"3"
"PROD494","Tablets","1005.36","Lenovo","STORE12","Chicago","208","CUST343","40","Otro","Regular","PROMO2","Regalo","1.47",2023-06-10,"4"
"PROD25","eaptops","389.73","HP","STORE2","Chicago","1378 sq ft","CUST973","29","Otro","Regular","PROMO4","Descuento","0.06",2023-04-09,"4"
"PROD471","Accesorios","1599.16","Bose","STORE18","Miami","364","CUST810","2006-09-27","Masculino","Regular","PROMO2","Descuento","0.48",2023-10-21,"5"
"PROD291","TVs","1223.59","Bose","STORE7","nueva york","719","CUST397","72","Femenino","Regular","PROMO8","Descuento","0.44",2023-07-23,"7"
"PROD424","Accesorios","1141.52","Samsung","STORE32","Los Ángeles","168","CUST135","70","Otro","Nuevo","PROMO5",NA,"45%",2023-03-31,"3"
"PROD368","Smartphones","619.08","Samsung","TND35","Miami","426 m2","CUST91","21","Otro","Nuevo","PROMO5","2x1","0.2",2023-04-15,"-1"
"PROD286","TVi","1357140","HP","STORE15","San Francisco","9160 sq ft","CUST323","66","Masculino","Regular","PROMO4","2x1","0.29",2023-02-11,"9"
"PROD396","Tablets","553.33","Apple","2","Los Ángeles","813","CUST963","52","O","Regular","PROMO5","Descuento","0.3",2023-07-07,"6"
"PROD159","Smartphones","204.47","Samsung","STORE30","Los Ángeles","736","CUST920","50","Masculino","Regwlar","PROMO9","2x1","0.25",2023-12-16,"5"
"PROD121","Accesorios","$881.26","Bose","TND29","CHICAGO","520","CUST728","20","Femenino","Regular","PROMO5","Regalo","0.44",2023-07-11,"7"
"PROD110","Liptops","970.26","Dell","STORE14","San Francisco","255","CUST180","56","Masculino","Regular","PROMO10","2x1","0.02",2023-12-17,"2"
"PROD158","Audio","1915.77","Bose","STORE27","Houston","393","CUST125","64","M","Reqular","PROMO2","Regalo","0.26",2023-01-26,"8"
"PROD64","Accesorios","779.11","Sony","STORE6","San Francisco","5490 sq ft","CUST168","66","Femenino","Nhevo","PROMO8","2x1","0.48",2023-07-11,"4"
"PROD483","Accesorios","1158.31","Apple","STORE21","NUEVA YORK","453 m2","CUST579","58","otro","Regular","PROMO4","Descuento","0.23",2023-10-21,"9"
"PROD398","Tablets","1348.69","Lenovo","STORE24","Los Ángeles","373","CUST314","35","M","Premium","PROMO10",NA,"0.29",2023-12-14,"6"
"PROD477","Accesorios","-1196.63","Lenovo","STORE6","Miami","992","CUST45","41","O","Regular","PROMO4","Regalo","19%",2023-09-20,"10"
"PROD480","Laptops","1139.21","Bose","STORE7","Houston","946","CUST842","57","Masculino","Premium","PROMO10","2x1","19",2023-05-18,"7"
"PROD199","TVs","1891.37","Lenovo","STORE14","Chicago","707 m2","CUST585","40","Masculino","Regular","PROMO8","Descuento","0.07",2023-09-13,"3"
"PROD67","Tablets","1094.27","LG","STORE21","MIAMI","373","CUST904","57","Masculino","Premium","PROMO9",NA,"0.35",2023-01-10,"4"
"PROD151","Accesorios","804.24","Apple","STORE15","San Francisco","971","CUST788","24","Otro","Regular","PROMO10","Regalo","1.46",2023-03-12,"5"
"PROD378","TVs","940.51","Apple","STORE27","miami","2745 sq ft","CUST197","67","Masculino","Premium","PROMO9","Descuento","0.5",2023-01-06,"9"
"PROD335","Tablets","1410.47","Sony","STORE28","Los Ángeles","342","CUST896","74","Otro","Premium","PROMO4","Descuento","0.42",2023-01-08,"3"
"PROD85","Smartphones","130.68","Samsung","STORE16","Chicago","121","CUST382","66","Masculino","Premium","PROMO8","Regalo","0.01",2023-02-22,"1"
"PROD165","TVs","507880","Apple","STORE43","Chicago","1808.352","CUST117","55","Femenino","Regular","PROMO1",NA,"0.08",2023-05-14,"2"
"PROD136","Lnptops","1569.09","LG","STORE40","Chicago","1798 sq ft","CUST336","29","Femenino","Regular","PROMO10","Regalo","0.36",2023-08-22,"4"
"PROD51","TVs","1613.67","Dell","STORE39","Houston","299","CUST609","73","Otro","Regular","PROMO5",NA,"0.37",2023-07-06,"4"
"PROD74","Smartphones","$780.95","Samsung","STORE11","Nueva York","787 m2","CUST754","73 años","Otro","Regular","PROMO2","Regalo","35",2023-08-21,"2"
"PROD178","TVs","223.54","LG","STORE41","Chicago","562","CUST457","41","Femenino","Regular","PROMO2",NA,"0.12",2023-03-09,"2000"
"PROD362","TVs","807.79","HP","STORE26","Miami","554","CUST911","1957-09-27","Masculino","Regular","PROMO9","Regalo","0.21",2023-12-03,"3"
"PROD236","Tabletm","981.59","Sony","STORE1","Chicago","494","CUST458","43","Otro","Nuevo","PROMO8","2x1","0.24",2023-08-15,"2"
"PROD98","Smartphonet","435.48","Bose","29","Miami","662","CUST542","49","Masculino","Regular","PROMO3","Descuento","0.42",2023-03-25,"9"
"PROD330","Lzptops","1747.05","Lenovo","STORE8","Nueva York","8880 sq ft","CUST302","2001-09-27","Femenino","Premium","PROMO3","Descuento","0.03",2023-11-20,"5"
"PROD214","Laptops","$1246.38","Dell","STORE10","Houston","373","CUST651","38","Otro","Premium","PROMO8",NA,"0.42",2023-10-20,"4"
"PROD127","Audio","1823.77","Sony","STORE1","San Francisco","263","CUST648","65","Masculino","Regular","PROMO4","2x1","43%",2023-10-31,"N/A"
"PROD460","TVs","1833.7","Dell","43","Miami","659 m2","CUST951","1988-09-27","Femenino","Rwgular","PROMO6",NA,"0.28",2023-06-17,"1"
"PROD212","Tablets","957810","Sony","44","Chicago","373 m2","CUST448","1962-09-27","Otro","Regular","PROMO5",NA,"0.11",2023-08-05,"2"
"PROD174","Smartphones","915.97","LG","STORE19","Los Ángeles","865 m2","CUST267","77","O","Premium","PROMO4","Regalo","0.22",2023-10-26,"7"
"PROD273","Smartphones","66.44","Lenovo","STORE45","Miami","272 m2","CUST95","1952-09-27","otro","Nuevo","PROMO5","Descuento","0.43",2023-03-11,"N/A"
"PROD446","Audio","1299.51","Lenovo","STORE19","Nueva York","334 m2","CUST950","34 años","M","Regular","PROMO4","Regalo","0.35",2023-03-23,"4"
"PROD302","Smartphones","1902.58","LG","STORE2","chicago","929","CUST684","19","masculino","Regular","PROMO3",NA,"0.23",2023-04-11,"4"
"PROD310","TVs","-196.95","Sony","STORE6","Los Ángeles","459","CUST278","39","Femenino","Premium","PROMO1",NA,"0.1",2023-11-09,"9"
"PROD419","Laptops","570.25","Lenovo","TND45","San Francisco","5253 sq ft","CUST934","23","Femenino","Regular",NA,"Descuento","0.43",2023-06-02,"7"
"PROD232","Tablets","395","Ha","STORE46","Houston","4111.848","CUST243","59","Femenino","Regular","PROMO4","2x1","0.35",2023-09-16,"9"
"PROD366","TVs","-1539.17","Bose","STORE39","nueva york","303 m2","CUST428","20","Mujer","Regular",NA,"Regalo","0.25",2023-05-20,"2"
"PROD243","TVs","$627.6","HP","STORE47","Chicago","297","CUST485","55","Otro","Premium","PROMO6",NA,"0.2",2023-01-01,"7"
"PROD350","Smartphones","137.52","Lenovo","TND5","Los Ángeles","900 m2","CUST361","58","Hombre","Regular","PROMO1","Descuento","49",2023-01-08,"3"
"PROD335","Laptops","1655.54","Lenovo","STORE29","Los Ángeles","10409 sq ft","CUST854","41","Masculino","Premium","PROMO2","Regalo","0.5",2023-04-22,"5"
"PROD280","TVs","689.1","Apple","STORE4","Nueva York","478","CUST340","25","Otro","kremium","PROMO10",NA,"0.34",2023-02-12,"7"
"PROD113","Lajtops","1129.62","Dell","STORE26","San Francisco","4865 sq ft","CUST717","2004-09-27","Otro","Regular","PROMO10","Regalo","0.14",2023-02-22,"N/A"
"PROD471","Accesorios","1899.69","Lenovo","STORE2","Houston","930 m2","CUST146","46","Femenino","Regular","PROMO1","Regalo","1",2023-09-27,"3"
"PROD107","Audio","1004.06","Dell","47","los ángeles","912","CUST395","44","Femenino","Regular",NA,"Regalo","0.33",2023-01-31,"3"
"PROD391","Tablets","1286.64","Dell","STORE22","LOS ÁNGELES","196 m2","CUST458","36","Femenino","Regular","PROMO6","2x1","0.2",2023-10-26,"4"
"PROD477","Tablets","678.27","HP","15","chicago","692","CUST285","26","femenino","Regular","PROMO2","2x1","0.39",2023-04-22,"6"
"PROD463","Laptops","1287100","Lenovo","STORE40","Nueva York","935","CUST196","56","M","Regular","PROMO5",NA,"14",2023-11-14,"8"
"PROD151","sVs","178.43","Bose","STORE7","Chicago","122","CUST448","36 años","Masculino","Regular","PROMO6","Regalo","0.5",2023-02-28,"9000"
"PROD154","Laptops","1640040","Apple","STORE6","Chicago","565","CUST802","73 años","Otro","Regulap",NA,"Regalo","0.21",2023-12-21,"2"
"PROD102","Laptops","1337.89","Dell","STORE21","San Francisco","322","CUST863","25","O","Premium","PROMO8","2x1","0.38",2023-12-22,"3"
"PROD494","Smartphones","218.03","nP","TND29","Nueva York","298","CUST285","56","Otro","Regulsr","PROMO9",NA,"1.07",2023-11-22,"5"
"PROD255","Audio","1696.42","Sony","STORE42","Miami","952","CUST474","41","Masculino","Regular","PROMO1",NA,"0.25",2023-06-02,"10"
"PROD160","Tablets","1049.72","Dell","STORE18","san francisco","1959.048","CUST598","63","Otro","Premium","PROMO9","Regalo","0.05",2023-05-22,"4"
"PROD391","Audio","812.3","Dell","STORE49","Los Ángeles","972","CUST444","20","Masculino","Regular","PROMO8","2x1","0.26",2023-05-18,"2"
"PROD155","Accesorios","1381000","Bose","STORE3","Nueva York","995","CUST969","60","Otro","Regular","PROMO1","2x1","0.12",2023-06-24,"9"
"PROD426","TVs","649.18","HP","TND17","Chicago","290 m2","CUST580","25","Hombre","Regular","PROMO2","2x1","0.46",2023-02-22,"8"
"PROD5","Tabless","1749.15","Boso","STORE35","Los Ángeles","251","CUST28","56","Otro","Regular","PROMO7","Descuento","0.01",2023-08-17,"2"
"PROD326","Smartphones","515.11","HP","STORE46","Los Ángeles","917","CUST802","29","Femenino","Regular","PROMO9",NA,"0.06",2023-05-05,"2"
"PROD272","Accesorios","457.83","LG","9","Houston","320","CUST538","48","Masculino","Premiue","PROMO7","Descuento","0.04",2023-10-14,"9"
"PROD280","Laptops","408.22","Sony","TND50","LOS ÁNGELES","704","CUST833","39","otro","Regular","PROMO3",NA,"0.26",2023-07-23,"2"
"PROD288","mablets","1205.57","HP","STORE25","San Francisco","3261 sq ft","CUST810","51","masculino","Regular","PROMO6","2x1","0.02",2023-01-13,"1"
"PROD277","TVs","1528.89","Bose","STORE28","San Francisco","4413.24","CUST358","19","Otro","Regular","PROMO7","Descuento","0.35",2023-08-26,"2"
"PROD55","Laptops","1507.38","Apple","STORE2","Houston","856","CUST704","78","M","Nuevo","PROMO4","Descuento","0.44",2023-09-24,"3"
"PROD331","Lsptops","1979.03","Dell","STORE40","Los Ángeles","324","CUST967","56","Femenino","Premium","PROMO5","2x1","0.37",2023-04-27,"2"
"PROD420","Accesorios","1999.8","Sony","TND3","San Francisco","661","CUST770","78","M","Premium","PROMO5","Descuento","0.06",2023-05-14,"4000"
"PROD492","Tablets","141.47","Lenovo","STORE17","SAN FRANCISCO","272","CUST252","72","Femenino","Premium","PROMO4","2x1","0.29",2023-03-19,"10"
"PROD238","Accesorios","1890.93","Lenovo","35","Chicago","294","CUST37","22","M","Nuevo","PROMO9","2x1","0.22",2023-06-08,"5"
"PROD252","Laptops","1741.74","Samsung","TND27","SAN FRANCISCO","443","CUST515","52","M","Regular","PROMO3","Regalo","0.46",2023-06-18,"5"
"PROD339","Tablets","67320","Dell","TND6","Los Ángeles","518","CUST543","26","Femenino","Regular","PROMO6","Regalo","0.04",2023-11-02,"6"
"PROD473","Laptops","-934.53","LG","STORE27","Houston","246","CUST605","68","Masculino","Regular","PROMO10","2x1","0.23",2023-06-05,"10"
"PROD39","Accesorios","1038.4","Bose","STORE44","nueva york","898 m2","CUST72","40","Otro","Nuevo","PROMO4","Regalo","0.03",2023-01-08,"4"
"PROD310","Audio","781.29","Lenovk","STORE13","San Francisco","120","CUST121","37","Otro","Regular","PROMO9","Descuento","0.25",2023-11-20,"8"
"PROD474","Tablets","1172.75","LG","STORE22","San Francisco","440","CUST209","22","Masculino","Regular","PROMO2",NA,"0.32",2023-01-13,"9"
"PROD137","TVs","1123550","Bose","STORE29","Nueva York","755","CUST555","73","Masculino","Regular","PROMO1",NA,"0.09",2023-08-10,"3"
"PROD455","Laptops","1597.07","Sony","STORE8","Houston","827","CUST667","49","Otro","Premium","PROMO7","Regalo","0.47",2023-11-25,"3"
"PROD226","Accesorios","939.85","Bose","STORE3","San Francisco","914","CUST436","31","Femenino","Regular",NA,"Descuento","0.19",2023-06-30,"-6"
